iter	Passed	Remaining
409	4349	6258
410	4360	6248
411	4369	6235
412	4377	6222
413	4387	6210
414	4402	6206
415	4417	6202
416	4428	6191
417	4440	6183
418	4453	6175
419	4461	6161
420	4472	6150
421	4483	6140
422	4492	6127
423	4500	6113
424	4512	6105
425	4522	6094
426	4532	6082
427	4540	6068
428	4550	6057
429	4558	6043
430	4569	6032
431	4578	6019
432	4585	6005
433	4592	5989
434	4602	5977
435	4611	5964
436	4620	5952
437	4629	5940
438	4639	5929
439	4649	5917
440	4658	5905
441	4668	5894
442	4679	5883
443	4688	5871
444	4698	5859
445	4705	5844
446	4713	5830
447	4721	5817
448	4731	5806
449	4742	5795
450	4749	5781
451	4758	5768
452	4767	5756
453	4780	5749
454	4788	5736
455	4798	5724
456	4808	5713
457	4815	5699
458	4827	5690
459	4837	5679
460	4847	5667
461	4860	5659
462	4868	5646
463	4877	5634
464	4887	5623
465	4896	5610
466	4903	5596
467	4916	5588
468	4932	5584
469	4947	5579
470	4958	5568
471	4966	5555
472	4977	5546
473	4986	5533
474	4995	5521
475	5006	5511
476	5014	5498
477	5023	5486
478	5030	5471
479	5041	5461
480	5052	5451
481	5061	5439
482	5071	5428
483	5079	5415
484	5091	5406
485	5101	5395
486	5112	5385
487	5121	5373
488	5129	5360
489	5138	5348
490	5146	5334
491	5158	5326
492	5170	5317
493	5180	5306
494	5193	5298
495	5205	5288
496	5215	5278
497	5225	5267
498	5235	5256
499	5242	5242
500	5253	5232
501	5264	5222
502	5272	5209
503	5282	5198
504	5292	5187
505	5303	5177
506	5310	5163
507	5321	5153
508	5333	5145
509	5342	5132
510	5351	5121
511	5360	5109
512	5368	5096
513	5379	5086
514	5388	5074
515	5398	5063
516	5413	5057
517	5422	5045
518	5430	5033
519	5441	5023
520	5450	5011
521	5461	5000
522	5469	4987
523	5479	4977
524	5487	4965
525	5498	4954
526	5506	4941
527	5515	4930
528	5524	4918
529	5532	4906
530	5542	4895
531	5553	4884
532	5560	4872
533	5568	4859
534	5578	4848
535	5586	4836
536	5595	4824
537	5605	4813
538	5614	4801
539	5621	4788
540	5629	4775
541	5637	4763
542	5646	4752
543	5657	4742
544	5665	4730
545	5672	4716
546	5681	4704
547	5692	4695
548	5702	4684
549	5710	4671
550	5721	4662
551	5734	4653
552	5742	4641
553	5752	4631
554	5761	4619
555	5769	4607
556	5778	4596
557	5789	4585
558	5797	4574
559	5810	4565
560	5822	4556
561	5830	4543
562	5839	4532
563	5850	4522
564	5857	4509
565	5868	4500
566	5877	4488
567	5888	4478
568	5895	4465
569	5904	4454
570	5914	4443
571	5925	4433
572	5933	4421
573	5944	4411
