iter	Logloss
0	0.6776209729
1	0.6627892722
2	0.6485726494
3	0.6357735377
4	0.6236169901
5	0.6117408492
6	0.6000227258
7	0.5892807154
8	0.5794452883
9	0.5698004243
10	0.5616787143
11	0.5535505683
12	0.5466767663
13	0.5390885275
14	0.5321212144
15	0.5251522269
16	0.5184048178
17	0.511790424
18	0.5051653308
19	0.4991615392
20	0.494032396
21	0.4885550228
22	0.4836572831
23	0.4785567516
24	0.4738607616
25	0.4699987322
26	0.4660286714
27	0.4619716277
28	0.4578362882
29	0.4539871861
30	0.4500417948
31	0.447044096
32	0.4441134868
33	0.4413952627
34	0.4386506685
35	0.4357800524
36	0.4329196807
37	0.430002364
38	0.4274668595
39	0.4250196528
40	0.4232928991
41	0.4212211661
42	0.4190104516
43	0.4168667025
44	0.4151626553
45	0.413199711
46	0.4111142261
47	0.4094331556
48	0.407939229
49	0.4060894092
50	0.404446512
51	0.4028940013
52	0.4017315153
53	0.4000682067
54	0.3985589275
55	0.3971586625
56	0.3958504437
57	0.3945714178
58	0.3933311094
59	0.3921347193
60	0.39096988
61	0.389811476
62	0.3888092238
63	0.3879259988
64	0.3870396575
65	0.386000021
66	0.384855778
67	0.3836921495
68	0.3826940459
69	0.3819493244
70	0.3810996767
71	0.3803347217
72	0.3794092555
73	0.378604843
74	0.3778462541
75	0.3770197394
76	0.3762650167
77	0.3754310441
78	0.3747537789
79	0.3738463723
80	0.3731185305
81	0.3724848714
82	0.3719521339
83	0.3711411538
84	0.3705435688
85	0.3698556762
86	0.369265891
87	0.3686162141
88	0.367867957
89	0.3672529794
90	0.366635567
91	0.3660403476
92	0.3654743477
93	0.3648699754
94	0.3644281974
95	0.363893172
96	0.3633578787
97	0.3628634752
98	0.3622455192
99	0.3617469243
100	0.3613651579
101	0.3609039188
102	0.360281536
103	0.3597421268
104	0.3593286749
105	0.3588846382
106	0.3584887041
107	0.3580821276
108	0.3577623984
109	0.3573858819
110	0.3569587593
111	0.3564542622
112	0.3560945058
113	0.3555143745
114	0.3550322114
115	0.354529447
116	0.3540525866
117	0.3537446639
118	0.3533507932
119	0.3529961266
120	0.3527686712
121	0.3524095057
122	0.3519853547
123	0.3517695932
124	0.3514071974
125	0.351074593
126	0.3507172899
127	0.3503212758
128	0.3499058868
129	0.349438346
130	0.3489830396
131	0.3486741335
132	0.3483463189
133	0.348050714
134	0.3477477566
135	0.3474485769
136	0.3472002508
137	0.3469084863
138	0.3465762547
139	0.3462175103
140	0.3459091678
141	0.3455150363
142	0.3450383731
143	0.3447904446
144	0.344518307
145	0.3442159597
146	0.3440026725
147	0.3436500024
148	0.3433324415
149	0.3430775879
150	0.3427930772
151	0.3424847886
152	0.3421916967
153	0.3419187627
154	0.3415649106
155	0.3413471808
156	0.34110001
157	0.3406667486
158	0.340412027
159	0.3400701779
160	0.3398555742
161	0.3396020753
162	0.3393518031
163	0.3391721704
164	0.3388295707
165	0.3385012085
166	0.3382437773
167	0.3379170374
168	0.3377102209
169	0.3374044374
170	0.337239096
171	0.3370256232
172	0.3366548988
173	0.3361378105
174	0.3358066488
175	0.3355588847
176	0.3352552252
177	0.3349787649
178	0.3346842018
179	0.3345014906
180	0.3342131465
181	0.33402452
182	0.3337632532
183	0.3335334951
184	0.3332388367
185	0.3330218896
186	0.332759895
187	0.3325664442
188	0.3324210365
189	0.3322980733
190	0.3320558883
191	0.3318663316
192	0.3316020166
193	0.3312641618
194	0.3310814592
195	0.330761109
196	0.3305144861
197	0.3302646136
198	0.3300285988
199	0.3297469189
200	0.3295159012
201	0.3293478787
202	0.3291371818
203	0.3289450979
204	0.3287132973
205	0.328429128
206	0.3282034011
207	0.3280019848
208	0.3278317409
209	0.327601538
210	0.3273501111
211	0.3270915185
212	0.3269333881
213	0.3267539797
214	0.3265094647
215	0.326335838
216	0.3262089431
217	0.3260380157
218	0.3258424411
219	0.3255576842
220	0.3253059114
221	0.3251285883
222	0.3249002424
223	0.324747317
224	0.3245385546
225	0.3243627729
226	0.3242040989
227	0.3239721533
228	0.3237545213
229	0.3236238155
230	0.3233375693
231	0.3232134553
232	0.3230356384
233	0.3229171781
234	0.3226885669
235	0.3225343803
236	0.3224157574
237	0.3222204255
238	0.3220033668
239	0.3217199853
240	0.3215133766
241	0.32133997
242	0.3211261475
243	0.3210256189
244	0.3208374962
245	0.320593197
246	0.3203741127
247	0.3202005616
248	0.3199329577
249	0.3197535274
250	0.3196575118
251	0.3194575144
252	0.3193374308
253	0.3191706304
254	0.3189788891
255	0.3188632271
256	0.3186982191
257	0.3184479555
258	0.3182623393
259	0.318083561
260	0.3179246438
261	0.3178036402
262	0.317674476
263	0.3175277495
264	0.3173178455
265	0.3171335264
266	0.3170185952
267	0.3168451215
268	0.3167021189
269	0.3165424167
270	0.3162705683
271	0.3160875257
272	0.3158519958
273	0.3156799815
274	0.3155649007
275	0.315363181
276	0.3151936105
277	0.3149872406
278	0.3148983724
279	0.3146931823
280	0.3145150807
281	0.3142559106
282	0.3140809016
283	0.3138064326
284	0.3135887648
285	0.3133975483
286	0.3131921202
287	0.31299818
288	0.312853433
289	0.3125527417
290	0.3123926102
291	0.3123126935
292	0.3121389531
293	0.3119287533
294	0.3117690216
295	0.3116130475
296	0.3113817833
297	0.3112485948
298	0.3111085287
299	0.310837976
300	0.3107540902
301	0.3106302906
302	0.3104667653
303	0.3102978158
304	0.310142357
305	0.3099855153
306	0.3097856822
307	0.3096021535
308	0.3095162894
309	0.3093803692
310	0.3092265651
311	0.3090374479
312	0.308896848
313	0.3086889964
314	0.3085163062
315	0.3083439117
316	0.308183316
317	0.3080649985
318	0.307875646
319	0.3077903959
320	0.3076598768
321	0.3075436296
322	0.307357667
323	0.3072189494
324	0.3070395967
325	0.3069333853
326	0.3068077973
327	0.3066831353
328	0.3064785639
329	0.3063187867
330	0.3061758549
331	0.3060421041
332	0.3058763079
333	0.3056742494
334	0.3055015663
335	0.3053610158
336	0.3052093902
337	0.3050368134
338	0.3048924914
339	0.3047453714
340	0.3046306114
341	0.3045330631
342	0.3044425134
343	0.3043214161
344	0.3041406922
345	0.3040037156
346	0.3038691848
347	0.3037190748
348	0.303611704
349	0.3034542759
350	0.3033325838
351	0.3032152822
352	0.3031060666
353	0.3029527928
